ostrinia_nubilalis	drosophila_melanogaster	NCBI GeneID	Symbol	Description
XP_063821765.1	NP_649168.2	40188	Gabat	gamma-aminobutyric acid transaminase
XP_063821769.1	NP_648704.2	39583	bbg	big bang
XP_063821772.1	NP_725541.1	36797	mrj	mrj
XP_063821781.1	NP_524641.1	43852	a	arc
XP_063821782.1	NP_523781.2	37116	Dp1	Dodeca-satellite-binding protein 1
XP_063821783.1	NP_727985.2	8674098	CanA-14F	Calcineurin A at 14F
XP_063821784.1	NP_647629.1	38187	CG12104	uncharacterized protein
XP_063821790.1	NP_651318.3	42990	tnc	tenectin
XP_063821791.1	NP_651321.1	42994	Smg6	Smg6
XP_063821796.1	NP_477158.1	33883	Cpr	Cytochrome P450 reductase
XP_063821798.1	NP_572221.1	31459	spoon	spoonbill
XP_063821802.1	NP_648205.1	38936	BI-1	Bax Inhibitor-1
XP_063821803.1	NP_608507.1	33190	Dus1	Dihydrouridine synthase 1
XP_063821804.1	NP_524698.1	44117	bgm	bubblegum
XP_063821805.1	NP_650124.1	41436	CG6962	uncharacterized protein
XP_063821806.1	NP_523706.1	36289	Polr3B	RNA polymerase III subunit B
XP_063821807.1	NP_524492.2	42986	ssh	slingshot
XP_063821808.1	NP_573099.1	32568	CG8939	uncharacterized protein
XP_063821809.1	NP_524133.2	39999	Eip75B	Ecdysone-induced protein 75B
XP_063821815.1	NP_649324.1	40384	SAK	Sak kinase
XP_063821816.1	NP_651205.2	42845	Miro	Mitochondrial Rho
XP_063821821.1	NP_523886.1	38208	RpL23A	Ribosomal protein L23A
XP_063821822.1	NP_573325.1	32869	CG6961	uncharacterized protein
XP_063821825.1	NP_648621.1	39475	MICAL-like	MICAL-like
XP_063821831.1	NP_610087.2	35375	CG9257	uncharacterized protein
XP_063821834.1	NP_001285631.1	19836250	Cyp6a16	Cytochrome P450 6a16
XP_063821835.1	NP_610452.2	35921	CG8777	uncharacterized protein
XP_063821836.1	NP_569978.1	31176	CG4045	uncharacterized protein
XP_063821838.1	NP_523626.2	35552	bin3	bicoid-interacting protein 3
XP_063821839.1	NP_476651.1	43517	ncd	non-claret disjunctional
XP_063821840.1	NP_609783.1	34957	pkaap	pkaap
XP_063821841.1	NP_609313.2	34300	IP3K1	Inositol 1,4,5-triphosphate kinase 1
XP_063821845.1	NP_647713.2	38298	MsR1	Myosuppressin receptor 1
XP_063821849.1	NP_608658.1	33402	sau	sauron
XP_063821852.1	NP_572901.1	32315	CG11178	uncharacterized protein
XP_063821853.1	NP_001036283.1	32703	baz	bazooka
XP_063821854.1	NP_610169.1	35492	CG10417	uncharacterized protein
XP_063821858.1	NP_610165.1	35488	CG10465	uncharacterized protein
XP_063821859.1	NP_610167.3	35490	CG10395	uncharacterized protein
XP_063821862.1	NP_611687.1	37582	tous	testes of unusual size
XP_063821863.1	NP_788900.1	32343	inaE	inactivation no afterpotential E
XP_063821867.1	NP_610838.1	36439	CG13326	uncharacterized protein
XP_063821875.1	NP_610786.2	36365	CG8545	uncharacterized protein
XP_063821876.1	NP_572439.1	31729	CG2258	uncharacterized protein
XP_063821877.1	NP_610808.1	36395	nemy	no extended memory
XP_063821882.1	NP_610221.1	35568	CG9410	uncharacterized protein
XP_063821883.1	NP_610224.1	35571	CG17266	uncharacterized protein
XP_063821885.1	NP_729327.1	38895	Sarm	Sterile alpha and Armadillo motif
XP_063821889.1	NP_611980.1	37986	CG30427	uncharacterized protein
XP_063821893.1	NP_725497.1	246445	Rif1	Rap1 interacting factor 1
XP_063821894.1	NP_610209.2	35546	Ptr	Patched-related
XP_063821895.1	NP_610749.3	36324	CG8854	uncharacterized protein
XP_063821896.1	NP_648212.1	38944	CG7182	uncharacterized protein
XP_063821897.1	NP_651070.3	42669	CG31156	uncharacterized protein
XP_063821899.1	NP_647836.2	38457	Sc2	Sc2
XP_063821905.1	NP_573368.2	32916	CG7889	uncharacterized protein
XP_063821909.1	NP_569837.2	30976	CG13375	uncharacterized protein
XP_063821910.1	NP_609845.1	35057	CG5131	uncharacterized protein
XP_063821911.1	NP_724456.1	35540	EcR	Ecdysone receptor
XP_063821912.1	NP_524788.2	44843	nkd	naked cuticle
XP_063821913.1	NP_608420.1	33076	CG1532	uncharacterized protein
XP_063821915.1	NP_724707.1	246563	CG30357	uncharacterized protein
XP_063821918.1	NP_609305.1	34287	CG4364	uncharacterized protein
XP_063821919.1	NP_476982.1	34286	pelo	pelota
XP_063821920.1	NP_608562.4	33277	IA-2	IA-2 protein tyrosine phosphatase
XP_063821929.1	NP_609836.1	35043	Polr2J	RNA polymerase II subunit J
XP_063821931.1	NP_609835.2	35042	CLIP-190	Cytoplasmic linker protein 190
XP_063821932.1	NP_647859.1	38489	Ack	Activated Cdc42 kinase
XP_063821933.1	NP_651969.1	44072	Ran	Ran
XP_063821935.1	NP_610549.1	36049	PIG-N	Phosphatidylinositol glycan anchor biosynthesis class N
XP_063821937.1	NP_524475.1	42854	Syx1A	Syntaxin 1A
XP_063821938.1	NP_647623.1	38181	CG12099	uncharacterized protein
XP_063821939.1	NP_523782.1	37121	slim	scruin like at the midline
XP_063821941.1	NP_608518.1	33206	CG11911	uncharacterized protein
XP_063821942.1	NP_610170.2	35494	stw	straw
XP_063821946.1	NP_651772.1	43583	AdoR	Adenosine receptor
XP_063821950.1	NP_610346.1	35768	CG14762	uncharacterized protein
XP_063821951.1	NP_476832.1	49297	SERCA	Sarco/endoplasmic reticulum Ca(2+)-ATPase
XP_063821957.1	NP_649570.1	40697	CG2182	uncharacterized protein
XP_063821958.1	NP_649565.1	40692	CG12170	uncharacterized protein
XP_063821959.1	NP_572535.1	31855	CG12056	uncharacterized protein
XP_063821960.1	NP_648057.2	38749	Sbds	SBDS ribosome maturation factor
XP_063821961.1	NP_649099.1	40097	Aldh7A1	Aldehyde dehydrogenase 7 family member A1
XP_063821963.1	NP_649098.2	40096	Mettl5	Methyltransferase like 5
XP_063821964.1	NP_610220.1	35567	CG15908	uncharacterized protein
XP_063821965.1	NP_001137972.1	7354371	CG42374	uncharacterized protein
XP_063821966.1	NP_649904.2	41148	CG9386	uncharacterized protein
XP_063821967.1	NP_569949.3	31141	Pex5	Peroxin 5
XP_063821968.1	NP_650570.1	42027	Arl6IP1	ADP-ribosylation factor-like 6 interacting protein 1
XP_063821969.1	NP_788950.2	33137	l(1)G0196	lethal (1) G0196
XP_063821971.1	NP_647989.2	38652	Bre1	Bre1
XP_063821972.1	NP_647848.2	38473	CG11594	uncharacterized protein
XP_063821974.1	NP_477249.3	31011	Dredd	Death related ced-3/Nedd2-like caspase
XP_063821975.1	NP_725560.1	246457	CG30100	uncharacterized protein
XP_063821976.1	NP_611273.1	37040	Orai	orai
XP_063821981.1	NP_524537.1	43345	mRpS22	mitochondrial ribosomal protein S22
XP_063821982.1	NP_726512.1	246609	CG30429	uncharacterized protein
XP_063821983.1	NP_523763.2	36849	DAT	Dopamine transporter
XP_063821985.1	NP_611929.1	37919	CG4622	uncharacterized protein
XP_063821986.1	NP_523967.2	38890	nmo	nemo
XP_063821990.1	NP_001015121.3	3354888	rl	rolled
XP_063821992.1	NP_611928.1	37918	CG13585	uncharacterized protein
XP_063821999.1	NP_001036421.1	3355131	cta	concertina
XP_063822000.1	NP_788084.1	35454	Tif-IA	Tif-IA
XP_063822001.1	NP_572964.1	32394	CG14414	uncharacterized protein
XP_063822003.1	NP_609111.1	34014	gudu	gudu
XP_063822004.1	NP_612042.3	38074	CG13893	uncharacterized protein
XP_063822005.1	NP_608930.1	43938	cl	clot
XP_063822012.1	NP_647641.1	38205	CG7970	uncharacterized protein
XP_063822013.1	NP_647649.2	38214	CG7991	uncharacterized protein
XP_063822014.1	NP_648557.1	39394	thoc6	thoc6
XP_063822017.1	NP_647645.1	38210	CG13930	uncharacterized protein
XP_063822018.1	NP_609186.1	34110	Rbsn-5	Rabenosyn-5
XP_063822025.1	NP_649026.1	39998	CG5290	uncharacterized protein
XP_063822026.1	NP_611422.2	37239	CG7744	uncharacterized protein
XP_063822030.1	NP_996411.2	32097	Drak	Death-associated protein kinase related
XP_063822032.1	NP_523572.1	34885	vig	vasa intronic gene
XP_063822034.1	NP_573175.2	32678	Polr3I	RNA polymerase III subunit I
XP_063822037.1	NP_572574.2	31905	Hecw	Hecw ubiquitin protein ligase
XP_063822039.1	NP_523658.1	35774	sut1	sugar transporter 1
XP_063822046.1	NP_610933.1	36566	CG8323	uncharacterized protein
XP_063822047.1	NP_733347.1	318562	CG31029	uncharacterized protein
XP_063822053.1	NP_572209.1	31438	CG42749	uncharacterized protein
XP_063822056.1	NP_608325.1	32954	CG14220	uncharacterized protein
XP_063822057.1	NP_788612.1	261329	CG8176	uncharacterized protein
XP_063822058.1	NP_611010.4	36674	pcs	parcas
XP_063822061.1	NP_523378.2	32661	if	inflated
XP_063822066.1	NP_609027.3	33898	Acox3	Acyl-CoA oxidase 3
XP_063822067.1	NP_648455.2	39269	Ir68a	Ionotropic receptor 68a
XP_063822068.1	NP_476749.1	41446	aurA	aurora A
XP_063822069.1	NP_523567.5	34850	osp	outspread
XP_063822074.1	NP_609961.2	35213	CG17544	uncharacterized protein
XP_063822075.1	NP_477416.1	33638	Traf4	TNF-receptor-associated factor 4
XP_063822080.1	NP_609086.1	33973	Gas41	Gas41
XP_063822081.1	NP_476575.1	37068	Hsf	Heat shock factor
XP_063822082.1	NP_724363.1	35427	CG31612	uncharacterized protein
XP_063822083.1	NP_608724.1	33486	CG3104	uncharacterized protein
XP_063822085.1	NP_524733.2	44272	tio	tiptop
XP_063822088.1	NP_649039.4	40019	AstC-R2	Allatostatin C receptor 2
XP_063822093.1	NP_511143.2	32268	Bap60	Brahma associated protein 60kD
XP_063822094.1	NP_523516.1	34212	Tsp29Fb	Tetraspanin 29Fb
XP_063822095.1	NP_648728.2	39617	DCX-EMAP	Doublecortin-domain-containing echinoderm-microtubule-associated protein
XP_063822096.1	NP_649305.1	40361	Tbc1d8-9	TBC1 domain family member 8/9
XP_063822100.1	NP_611726.1	37627	CG13531	uncharacterized protein
XP_063822105.1	NP_524653.1	43906	skd	skuld
XP_063822106.1	NP_647789.2	38395	hob	hobbit
XP_063822108.1	NP_608982.2	33844	CG9109	uncharacterized protein
XP_063822109.1	NP_608823.2	33637	CG15429	uncharacterized protein
XP_063822111.1	NP_524833.2	45655	dom	domino
XP_063822112.1	NP_727717.1	32312	Tpst	Tyrosylprotein sulfotransferase
XP_063822113.1	NP_573140.1	32637	mthl1	methuselah-like 1
XP_063822114.1	NP_729825.2	39448	Vps13D	Vacuolar protein sorting 13D
XP_063822115.1	NP_001015174.1	3354930	CG40191	uncharacterized protein
XP_063822117.1	NP_001015316.1	3355040	l(3)80Fj	lethal (3) 80Fj
XP_063822121.1	NP_733209.1	43288	l(3)mbt	lethal (3) malignant brain tumor
XP_063822123.1	NP_610249.2	35569	Hsepi	Heparan sulfate C5-epimerase
XP_063822125.1	NP_610478.1	35955	Drep2	DNA fragmentation factor-related protein 2
XP_063822126.1	NP_523358.5	32561	mmd	mind-meld
XP_063822128.1	NP_610599.3	36122	Git	G protein-coupled receptor kinase interacting ArfGAP
XP_063822129.1	NP_572915.1	32330	Mrgn1	Mahogunin ring finger 1
XP_063822131.1	NP_523953.2	38785	melt	melted
XP_063822133.1	NP_648080.1	38780	BBS1	Bardet-Biedl syndrome 1
XP_063822137.1	NP_610816.2	36403	CG42663	uncharacterized protein
XP_063822143.1	NP_608396.2	33048	RhoGAP19D	Rho GTPase activating protein at 19D
XP_063822145.1	NP_610466.2	35937	Rad51D	Rad51 recombinase D
XP_063822146.1	NP_726905.2	31353	CG43689	uncharacterized protein
XP_063822148.1	NP_610413.1	35875	CG8272	uncharacterized protein
XP_063822149.1	NP_728769.2	38332	CG42304	uncharacterized protein
XP_063822151.1	NP_729614.2	39198	Rbfox1	RNA-binding Fox protein 1
XP_063822152.1	NP_477287.1	34527	Nup154	Nucleoporin 154kD
XP_063822154.1	NP_001036451.1	3355136	Nipped-B	Nipped-B
XP_063822155.1	NP_523365.2	32587	caz	cabeza
XP_063822156.1	NP_649649.1	40786	CG10286	uncharacterized protein
XP_063822159.1	NP_611574.5	37433	Arms	Ankyrin repeat-rich membrane spanning
XP_063822160.1	NP_570073.3	318206	Tlk	Tousled-like kinase
XP_063822161.1	NP_511156.2	32406	rut	rutabaga
XP_063822166.1	NP_511055.1	31544	Mipp2	Multiple inositol polyphosphate phosphatase 2
XP_063822168.1	NP_573328.2	32874	CG42450	uncharacterized protein
XP_063822179.1	NP_609899.1	35126	CG10376	uncharacterized protein
XP_063822180.1	NP_610918.1	36548	St4	Sulfotransferase 4
XP_063822189.1	NP_648283.1	39039	Doc1	Dorsocross1
XP_063822190.1	NP_648279.1	39035	CG5087	uncharacterized protein
XP_063822196.1	NP_572401.2	31680	Hira	hira
XP_063822199.1	NP_572909.1	32324	CG15760	uncharacterized protein
XP_063822200.1	NP_573354.1	32902	CG7556	uncharacterized protein
XP_063822201.1	NP_524060.2	39529	Hml	Hemolectin
XP_063822207.1	NP_609379.1	34389	CG5381	uncharacterized protein
XP_063822213.1	NP_788038.1	34640	rho-6	rhomboid-6
XP_063822215.1	NP_609453.1	34489	CG17127	uncharacterized protein
XP_063822219.1	NP_611336.1	37125	Dnaaf3	Dynein axonemal assembly factor 3
XP_063822220.1	NP_649016.1	39987	MED19	Mediator complex subunit 19
XP_063822221.1	NP_572303.4	31560	Josd	Josephin domain containing
XP_063822223.1	NP_572342.1	31609	CG14442	uncharacterized protein
XP_063822229.1	NP_523665.2	35938	CG42382	uncharacterized protein
XP_063822231.1	NP_649595.1	40724	Sec20	Secretory 20
XP_063822236.1	NP_001104482.3	26067053	kl-3	male fertility factor kl3
XP_063822243.1	NP_611860.1	37817	CG10904	uncharacterized protein
XP_063822244.1	NP_648457.1	39271	Dyro	Dpt-YFP repressor by overexpression
XP_063822246.1	NP_612049.1	38081	CG3386	uncharacterized protein
XP_063822247.1	NP_477383.1	35773	slv	saliva
XP_063822248.1	NP_647950.1	38602	CG10674	uncharacterized protein
XP_063822249.1	NP_608536.1	33237	cold	coiled
XP_063822251.1	NP_649130.2	40132	CG14100	uncharacterized protein
XP_063822254.1	NP_649072.1	40062	CG6843	uncharacterized protein
XP_063822255.1	NP_572668.1	32027	CG2145	uncharacterized protein
XP_063822258.1	NP_727152.1	50395	sloth1	sloth 1
XP_063822259.1	NP_001138171.1	7354414	sloth2	sloth 2
XP_063822260.1	NP_651918.2	43785	Rad23	Rad23
XP_063822262.1	NP_610499.2	35984	Nt5c	5' nucleotidase C
XP_063822265.1	NP_651459.2	43168	PIG-P	Phosphatidylinositol glycan anchor biosynthesis class P
XP_063822266.1	NP_651362.1	43042	CG11857	uncharacterized protein
XP_063822270.1	NP_524728.2	44260	eIF1A	eukaryotic translation initiation factor 1A
XP_063822273.1	NP_724409.3	246616	IFT20	Intraflagellar transport 20
XP_063822274.1	NP_788409.1	37161	Hs3st-A	Heparan sulfate 3-O sulfotransferase-A
XP_063822275.1	NP_652073.2	49713	alpha-Catr	alpha-catenin related
XP_063822279.1	NP_727768.1	318108	CG32599	uncharacterized protein
XP_063822281.1	NP_524752.1	44438	mEFTu1	mitochondrial translation elongation factor Tu 1
XP_063822286.1	NP_647890.2	38531	dyl	dusky-like
XP_063822289.1	NP_523619.2	35473	TpnC41C	Troponin C at 41C
XP_063822296.1	NP_609984.2	35244	CG13082	uncharacterized protein
XP_063822297.1	NP_609985.1	35245	CG13081	uncharacterized protein
XP_063822298.1	NP_523954.2	38786	corn	cornetto
XP_063822301.1	NP_648406.1	39210	CG8003	uncharacterized protein
XP_063822305.1	NP_650794.1	42309	Polr2M	RNA polymerase II subunit M
XP_063822306.1	NP_523467.1	33565	msl-2	male-specific lethal 2
XP_063822307.1	NP_608984.2	33849	IPIP	Inositol phosphatase interacting protein
XP_063822308.1	NP_648092.1	38796	mRpL50	mitochondrial ribosomal protein L50
XP_063822310.1	NP_609900.1	35127	CG10343	uncharacterized protein
XP_063822311.1	NP_608826.4	33641	Psf2	Partner of Sld Five 2
XP_063822313.1	NP_573239.1	32753	CG8173	uncharacterized protein
XP_063822314.1	NP_573237.2	32751	CG8188	uncharacterized protein
XP_063822316.1	NP_732072.1	49241	rec	recombination-defective
XP_063822317.1	NP_611844.3	37792	Upf3	Upf3
XP_063822318.1	NP_511049.1	31474	Mlc-c	Myosin light chain cytoplasmic
XP_063822320.1	NP_572361.1	31630	Cht11	Chitinase 11
XP_063822321.1	NP_611561.1	37418	Lapsyn	Leucine-rich repeat activity-regulated protein at synapses
XP_063822322.1	NP_476614.1	34910	lace	lace
XP_063822323.1	NP_787983.1	33721	Rtnl1	Reticulon-like1
XP_063822330.1	NP_609247.1	34197	Trs23	TRAPP subunit 23
XP_063822331.1	NP_649326.1	40386	CG7611	uncharacterized protein
XP_063822332.1	NP_609529.2	34608	CG6686	uncharacterized protein
XP_063822333.1	NP_650307.2	41678	ninaB	neither inactivation nor afterpotential B
XP_063822334.1	NP_610809.3	36396	GLS	Glutaminase
XP_063822335.1	NP_523483.2	33768	nompC	no mechanoreceptor potential C
XP_063822345.1	NP_650686.1	42175	MED17	Mediator complex subunit 17
XP_063822346.1	NP_608808.1	33604	bark	bark beetle
XP_063822348.1	NP_608519.2	33207	Ent1	Equilibrative nucleoside transporter 1
XP_063822350.1	NP_608864.1	33684	tank	tank
XP_063822351.1	NP_608494.2	33171	CG3164	uncharacterized protein
XP_063822352.1	NP_572687.1	32049	Klp10A	Kinesin-like protein at 10A
XP_063822356.1	NP_608493.2	33170	CG4822	uncharacterized protein
XP_063822358.1	NP_608773.2	33556	Pgant2	Polypeptide N-Acetylgalactosaminyltransferase 2
XP_063822361.1	NP_649921.1	41167	SpdS	Spermidine Synthase
XP_063822364.1	NP_610575.1	36089	Ndg	Nidogen
XP_063822366.1	NP_573125.1	32610	CG4301	uncharacterized protein
XP_063822367.1	NP_523924.1	38528	Hexo1	Hexosaminidase 1
XP_063822374.1	NP_523923.1	38527	TfIIEbeta	Transcription factor IIEbeta
XP_063822375.1	NP_001163347.1	38529	CG15012	uncharacterized protein
XP_063822376.1	NP_651201.1	42839	CG5902	uncharacterized protein
XP_063822377.1	NP_609220.1	34157	CG13392	uncharacterized protein
XP_063822378.1	NP_477321.2	31329	Parg	Poly(ADP-ribose) glycohydrolase
XP_063822379.1	NP_524059.4	39527	bru3	bruno 3
XP_063822380.1	NP_523785.2	37136	mRpS28	mitochondrial ribosomal protein S28
XP_063822381.1	NP_610101.3	35397	CG8677	uncharacterized protein
XP_063822382.1	NP_650055.1	41350	GCC88	GRIP and coiled-coil domain containing 88 kDa
XP_063822384.1	NP_476942.1	34969	cact	cactus
XP_063822388.1	NP_611469.1	37298	CG16868	uncharacterized protein
XP_063822394.1	NP_608827.1	33642	Tps1	Trehalose-6-phosphate synthase 1
XP_063822395.1	NP_523551.1	34582	kek2	kekkon 2
XP_063822396.1	NP_523471.2	33636	Atet	ABC transporter expressed in trachea
XP_063822397.1	NP_788019.1	34322	CG5853	uncharacterized protein
XP_063822400.1	NP_608828.2	33643	CG3652	uncharacterized protein
XP_063822405.1	NP_523533.2	34364	me31B	maternal expression at 31B
XP_063822407.1	NP_651781.1	43593	CG9743	uncharacterized protein
XP_063822413.1	NP_001034050.1	41630	CG15888	uncharacterized protein
XP_063822414.1	NP_569729.1	37517	Synj	Synaptojanin
XP_063822415.1	NP_608841.1	33658	FIG4	FIG4 phosphoinositide 5-phosphatase
XP_063822416.1	NP_536740.1	42026	nonA-l	nonA-like
XP_063822417.1	NP_573116.2	32594	SWIP	Strumpellin and WASH-interacting protein
XP_063822418.1	NP_650273.2	41634	CG8773	uncharacterized protein
XP_063822420.1	NP_649926.2	41174	nmdyn-D7	nmdyn-D7
XP_063822423.1	NP_608614.1	33349	frtz	fritz
XP_063822425.1	NP_524866.4	46015	tutl	turtle
XP_063822426.1	NP_608738.1	33513	Prp40	pre-mRNA processing factor 40
XP_063822431.1	NP_731790.1	41639	PK2-R1	Pyrokinin 2 receptor 1
XP_063822433.1	NP_476723.1	36171	shn	schnurri
XP_063822435.1	NP_651779.1	43591	CG9747	uncharacterized protein
XP_063822436.1	NP_733162.2	43213	beat-VII	beaten path VII
XP_063822440.1	NP_608551.1	33264	CG4291	uncharacterized protein
XP_063822443.1	NP_651780.1	43592	CG15531	uncharacterized protein
XP_063822445.1	NP_477508.1	34947	beat-Ia	beaten path Ia
XP_063822446.1	NP_731783.1	41632	Osi22	Osiris 22
XP_063822447.1	NP_476776.1	33629	RpL40	Ribosomal protein L40
XP_063822448.1	NP_525068.1	31373	mei-9	meiotic 9
XP_063822450.1	NP_536756.1	40668	Pcmt	Protein-L-isoaspartate (D-aspartate) O-methyltransferase
XP_063822453.1	NP_609172.1	34091	Spn28Dc	Serpin 28Dc
XP_063822456.1	NP_608580.2	33301	CG14341	uncharacterized protein
XP_063822457.1	NP_476605.1	34956	crp	cropped
XP_063822465.1	NP_477208.1	33201	U2af38	U2 small nuclear riboprotein auxiliary factor 38
XP_063822466.1	NP_609591.2	34686	MRP	Multidrug-Resistance like Protein 1
XP_063822471.1	NP_610917.1	36545	Rpn13	Regulatory particle non-ATPase 13
XP_063822474.1	NP_523469.2	33619	ed	echinoid
XP_063822480.1	NP_477136.1	34120	Ssb-c31a	Single stranded-binding protein c31A
XP_063822481.1	NP_609150.2	34064	LKRSDH	Lysine ketoglutarate reductase/saccharopine dehydrogenase
XP_063822482.1	NP_001015100.2	3354863	klhl10	kelch like family member 10
XP_063822483.1	NP_523734.1	36544	AGO1	Argonaute-1
XP_063822489.1	NP_609380.1	34390	CG4995	uncharacterized protein
XP_063822494.1	NP_608884.1	33711	Scox	Synthesis of cytochrome c oxidase
XP_063822495.1	NP_651119.2	42727	CG17111	uncharacterized protein
XP_063822500.1	NP_650306.1	41677	f-cup	flyers-cup
XP_063822502.1	NP_001015386.3	3355097	Gpb5	Glycoprotein hormone beta 5
XP_063822504.1	NP_476962.1	34367	Ror	Ror
XP_063822506.1	NP_611503.1	37339	DMAP1	DNA methyltransferase 1 associated protein 1
XP_063822507.1	NP_524867.2	46032	Bka	Bekka
XP_063822513.1	NP_728540.1	318050	CG32483	uncharacterized protein
XP_063822519.1	NP_609586.1	34681	spict	spichthyin
XP_063822521.1	NP_477027.1	34392	RnrL	Ribonucleoside diphosphate reductase large subunit
XP_063822522.1	NP_609579.1	34674	CCT4	Chaperonin containing TCP1 subunit 4
XP_063822523.1	NP_722456.1	37305	MED8	Mediator complex subunit 8
XP_063822524.1	NP_608818.4	33626	Naprt	Nicotinate phosphoribosyltransferase
XP_063822525.1	NP_611351.1	37142	Sec6	Secretory 6
XP_063822526.1	NP_609227.1	34169	CG13398	uncharacterized protein
XP_063822530.1	NP_609544.2	34626	Rab3-GAP	Rab3 GTPase activating protein
XP_063822531.1	NP_609608.1	34711	Alg7	Alg7 dolichyl-phosphate N-acetylglucosaminephosphotransferase
XP_063822533.1	NP_524905.1	47942	scat	scattered
XP_063822534.1	NP_612013.3	3772691	Kaz1-ORFB	Kaz1-ORFB
XP_063822536.1	NP_570074.3	318211	HIP	Hsc/Hsp70-interacting protein
XP_063822537.1	NP_511152.2	32375	mRpL38	mitochondrial ribosomal protein L38
XP_063822540.1	NP_611868.1	37830	CG4324	uncharacterized protein
XP_063822541.1	NP_608682.3	33429	CG18641	uncharacterized protein
XP_063822542.1	NP_608681.2	33427	VGlut	Vesicular glutamate transporter
XP_063822543.1	NP_476734.1	34524	aub	aubergine
XP_063822544.1	NP_524524.1	43241	Tsp97E	Tetraspanin 97E
XP_063822546.1	NP_477497.1	33627	ft	fat
XP_063822547.1	NP_651828.2	43655	CG15544	uncharacterized protein
XP_063822548.1	NP_523460.2	33473	Syt1	Synaptotagmin 1
XP_063822554.1	NP_524205.2	40424	Syn1	Syntrophin-like 1
XP_063822555.1	NP_609786.2	34962	CG17328	uncharacterized protein
